task,gamma,lambda,rho,sample_complexity,V,m,q,test_error,train_loss
logistic_regression,0.5,0.01,0.9984036138160437,0.01,45.563547119353785,0.2022908079265784,0.2022908079265784,0.48196863078293406,0.06197818988672389
logistic_regression,0.5,0.01,0.9984036138160437,0.07102040816326531,40.56050710732244,1.379254569669682,1.379254569669682,0.4521878924999084,0.06637101310312661
logistic_regression,0.5,0.01,0.9984036138160437,0.1320408163265306,36.21402916403669,2.4585020185603885,2.4585020185603885,0.43509503833354185,0.0710486223206804
logistic_regression,0.5,0.01,0.9984036138160437,0.19306122448979593,32.44904764551818,3.4428128332413612,3.4428128332413612,0.42184026414435793,0.07596891886989976
logistic_regression,0.5,0.01,0.9984036138160437,0.2540816326530612,29.18302621101497,4.335443935086515,4.335443935086515,0.410698687430945,0.08110110962435285
logistic_regression,0.5,0.01,0.9984036138160437,0.31510204081632653,26.34089299284218,5.1396052439440725,5.1396052439440725,0.4009674976114257,0.08642175565716217
logistic_regression,0.5,0.01,0.9984036138160437,0.37612244897959185,23.858851585992404,5.858524038085586,5.858524038085586,0.3922812253034856,0.09191078616932913
logistic_regression,0.5,0.01,0.9984036138160437,0.43714285714285717,21.68382467282151,6.495626547416246,6.495626547416246,0.38442208876251804,0.09754913978541684
logistic_regression,0.5,0.01,0.9984036138160437,0.4981632653061225,19.77178844368052,7.054685197032201,7.054685197032201,0.3772478974041717,0.10331756857228219
logistic_regression,0.5,0.01,0.9984036138160437,0.5591836734693878,18.08608140931047,7.5398990150011205,7.5398990150011205,0.37065925555674367,0.10919614433390325
logistic_regression,0.5,0.01,0.9984036138160437,0.6202040816326531,16.59597342195967,7.955907381063028,7.955907381063028,0.3645827748338698,0.11516418567684282
logistic_regression,0.5,0.01,0.9984036138160437,0.6812244897959184,15.275523360176322,8.307745545729022,8.307745545729022,0.35896172924155634,0.12120044331645105
logistic_regression,0.5,0.01,0.9984036138160437,0.7422448979591837,14.10268494801034,8.600756438835692,8.600756438835692,0.3537505187462219,0.127283437551966
logistic_regression,0.5,0.01,0.9984036138160437,0.8032653061224491,13.058609416097802,8.840472239692314,8.840472239692314,0.34891123810806346,0.13339186922912902
logistic_regression,0.5,0.01,0.9984036138160437,0.8642857142857143,12.12709963984768,9.032482574676745,9.032482574676745,0.34441147605639605,0.13950504149781823
logistic_regression,0.5,0.01,0.9984036138160437,0.9253061224489797,11.294178131371392,9.18230184016901,9.18230184016901,0.34022286979179883,0.14560325267541369
logistic_regression,0.5,0.01,0.9984036138160437,0.986326530612245,10.54774208675649,9.295248444813371,9.295248444813371,0.33632014301773194,0.15166812405029428
logistic_regression,0.5,0.01,0.9984036138160437,1.0473469387755103,9.877283816401611,9.376343856444894,9.376343856444894,0.3326804592626992,0.1576828518969965
logistic_regression,0.5,0.01,0.9984036138160437,1.1083673469387756,9.273662398387348,9.43023694611755,9.43023694611755,0.3292829874530163,0.16363237018982094
logistic_regression,0.5,0.01,0.9984036138160437,1.1693877551020408,8.728913365570843,9.461153170864158,9.461153170864158,0.32610860306223577,0.16950344329157127
logistic_regression,0.5,0.01,0.9984036138160437,1.230408163265306,8.23608988081589,9.472869803265521,9.472869803265521,0.32313968384263775,0.17528468628861263
logistic_regression,0.5,0.01,0.9984036138160437,1.2914285714285716,7.789128125780161,9.468712491484617,9.468712491484617,0.3203599633281977,0.1809665295796246
logistic_regression,0.5,0.01,0.9984036138160437,1.3524489795918369,7.382732060491232,9.451567959749262,9.451567959749262,0.3177544188085229,0.18654113737271039
logistic_regression,0.5,0.01,0.9984036138160437,1.4134693877551021,7.0122743222667046,9.423912654723669,9.423912654723669,0.31530918645588013,0.19200229912434413
logistic_regression,0.5,0.01,0.9984036138160437,1.4744897959183674,6.67371068521276,9.387846320106005,9.387846320106005,0.3130114834122296,0.19734527598943694
logistic_regression,0.5,0.01,0.9984036138160437,1.5355102040816326,6.363504415528234,9.34513294932093,9.34513294932093,0.31084954216166455,0.2025666650201829
logistic_regression,0.5,0.01,0.9984036138160437,1.5965306122448981,6.0785608470251,9.29724110205888,9.29724110205888,0.30881254629634924,0.2076642380697888
logistic_regression,0.5,0.01,0.9984036138160437,1.6575510204081634,5.8161706043256105,9.245384807551408,9.245384807551408,0.30689056829195566,0.21263677414386906
logistic_regression,0.5,0.01,0.9984036138160437,1.7185714285714286,5.573958893354579,9.190560213664817,9.190560213664817,0.3050745108706771,0.21748392102448655
logistic_regression,0.5,0.01,0.9984036138160437,1.779591836734694,5.349842071356741,9.133580778786904,9.133580778786904,0.30335604758889617,0.2222060517952492
logistic_regression,0.5,0.01,0.9984036138160437,1.8406122448979594,5.1419892067748965,9.075106335772698,9.075106335772698,0.3017275658755374,0.22680414401858146
logistic_regression,0.5,0.01,0.9984036138160437,1.9016326530612246,4.948789255275217,9.01567026104724,9.01567026104724,0.3001821132396227,0.23127966393285826
logistic_regression,0.5,0.01,0.9984036138160437,1.96265306122449,4.768821860875453,8.955700650557699,8.955700650557699,0.2987133422951373,0.23563447607045113
logistic_regression,0.5,0.01,0.9984036138160437,2.023673469387755,4.600832703527247,8.895540179079239,8.895540179079239,0.2973154621376937,0.23987075729189825
logistic_regression,0.5,0.01,0.9984036138160437,2.0846938775510204,4.443711892005471,8.83546130307045,8.83546130307045,0.29598319043136134,0.24399092453984061
logistic_regression,0.5,0.01,0.9984036138160437,2.1457142857142855,4.29647520272963,8.775679270713805,8.775679270713805,0.2947117088821688,0.24799757936223035
logistic_regression,0.5,0.01,0.9984036138160437,2.206734693877551,4.158248152107665,8.716363220642151,8.716363220642151,0.29349662185517716,0.2518934536459991
logistic_regression,0.5,0.01,0.9984036138160437,2.2677551020408164,4.028251951985801,8.657644682875057,8.657644682875057,0.2923339184488566,0.25568137252931505
logistic_regression,0.5,0.01,0.9984036138160437,2.3287755102040815,3.9057915518998167,8.599624842715862,8.599624842715862,0.2912199368351924,0.259364218625821
logistic_regression,0.5,0.01,0.9984036138160437,2.389795918367347,3.7902453757723027,8.542380711535031,8.542380711535031,0.29015133213023026,0.2629449010802441
logistic_regression,0.5,0.01,0.9984036138160437,2.450816326530612,3.681056193433656,8.485969546063473,8.485969546063473,0.2891250471692237,0.2664263378518882
logistic_regression,0.5,0.01,0.9984036138160437,2.5118367346938775,3.577723392942598,8.430432774668247,8.430432774668247,0.2881382847797737,0.2698114353239885
logistic_regression,0.5,0.01,0.9984036138160437,2.572857142857143,3.4797963408553754,8.375799313366603,8.375799313366603,0.2871884846328091,0.27310307157170466
logistic_regression,0.5,0.01,0.9984036138160437,2.633877551020408,3.3868684244398874,8.322087772403542,8.322087772403542,0.28627330001646667,0.2763040868568916
logistic_regression,0.5,0.01,0.9984036138160437,2.6948979591836735,3.29857206610654,8.269309007424157,8.269309007424157,0.28539057833008497,0.2794172732054945
logistic_regression,0.5,0.01,0.9984036138160437,2.7559183673469385,3.214574134504253,8.21746689850783,8.21746689850783,0.28453834278053314,0.28244537033335004
logistic_regression,0.5,0.01,0.9984036138160437,2.816938775510204,3.1345723619706476,8.16656087854469,8.16656087854469,0.2837147761269806,0.28539105309916846
logistic_regression,0.5,0.01,0.9984036138160437,2.8779591836734695,3.0582917403719354,8.116586173912008,8.116586173912008,0.2829182058313712,0.288256934191682
logistic_regression,0.5,0.01,0.9984036138160437,2.9389795918367345,2.985481604043806,8.067534532126718,8.067534532126718,0.2821470907759941,0.2910455588025247
logistic_regression,0.5,0.01,0.9984036138160437,3.0,2.915913131755491,8.019395661192432,8.019395661192432,0.2814000093481068,0.2937594021581422
